Release_No	PGS_integ
ABBM103412	0.4043529352443167
ABBM063811	0.4803431599875261
ABBM069875	1.0448388057232
ABBM018760	0.6450460699420948
ABBM075733	0.4998387405623898
ABBM080119	0.5750995576864004
ABBM012998	0.723160297259674
ABBM073357	0.406093280306199
ABBM088437	0.5417887849840577
ABBM066714	0.9547247071612016
ABBM073315	0.4801983204873562
ABBM071731	0.990666155036921
ABBM013061	0.3388678174706939
ABBM054065	0.8260632500463956
ABBM074929	0.6274740918030766
ABBM078106	0.7986086533755016
ABBM051938	0.443342422066411
ABBM069734	0.7424046310069362
ABBM070653	0.6595633838146567
ABBM013216	0.8065483371242166
ABBM002680	0.6536432448726586
ABBM028182	0.6306007485513334
ABBM071050	0.3918983488253942
ABBM073989	0.4085929184353838
ABBM066577	0.6888708637783122
ABBM074971	0.3418492579217983
ABBM075585	0.7252113998603149
ABBM074003	0.7399117275988616
ABBM073313	0.972853077067121
ABBM075761	0.6385223824857323
ABBM087236	0.8149483094812966
ABBM078860	0.484553353577497
ABBM087061	0.2011010869954085
ABBM016526	0.6365966189877555
ABBM070954	0.952195797861284
ABBM071469	0.7555484060902762
ABBM083050	0.7210084459655729
ABBM013011	1.1380408204369543
ABBM071030	0.8458288878148131
ABBM075343	0.1595274279163492
ABBM071543	0.6976007655771106
ABBM078792	0.9013601613130612
ABBM068038	0.3402894741407161
ABBM070074	0.2427528927780926
ABBM079286	0.3293412704046303
ABBM012410	0.7974418053655908
ABBM068945	0.6139727582579504
ABBM000082	0.7498713271279739
ABBM070080	0.6807627034041981
ABBM012379	0.4658907091357919
ABBM014780	0.6754974959190084
ABBM076922	0.656151377409246
ABBM074379	0.7490811320236244
ABBM087279	0.0928257382095524
ABBM014754	0.3487847529384151
ABBM077558	0.5038666460859527
ABBM013540	0.6154677148480809
ABBM082899	0.4693501835810327
ABBM087823	0.4681196436514122
ABBM099024	0.6732560728923156
ABBM022899	0.6397936648633945
ABBM000934	0.6089484746945952
ABBM079192	0.3483035011862245
ABBM012686	0.5314630277345963
ABBM070793	0.3913334445805041
ABBM073386	-0.0233779197895369
ABBM074806	0.6363055470326392
ABBM012637	0.5300202499322936
ABBM086786	0.369557953904211
ABBM070986	0.5201342299376122
ABBM074834	0.3734048894943624
ABBM070601	0.7675345591689443
ABBM020480	0.7679543911051935
ABBM073801	0.7258844060578448
ABBM013764	0.6007957937980308
ABBM013971	0.6040884281690145
ABBM078890	0.610232960630218
ABBM072023	0.3707256795543392
ABBM075657	0.5094608914279982
ABBM075958	0.7549038781452546
ABBM078020	0.2988440249782469
ABBM071623	0.5383214796447624
ABBM070819	0.8870181689219864
ABBM025261	0.2267745871151353
ABBM012792	0.2484283241651054
ABBM074799	0.5348742189529399
ABBM083309	0.4626937728933797
ABBM005899	0.4005343620737749
ABBM013539	0.4414864800493007
ABBM068227	0.6175656564810005
ABBM071945	0.6834213514237863
ABBM015345	0.4506010046759326
ABBM068942	0.4580056126903383
ABBM076704	0.5918474963998809
ABBM013031	0.4610666569482646
ABBM013215	0.6179912050355063
ABBM071842	0.2528695358630342
ABBM070973	0.2852847792851832
ABBM078669	0.9122554065948056
ABBM015473	0.6476026736005901
ABBM088123	0.2532357789879548
ABBM078598	0.5174339026834328
ABBM073290	0.4725335626597696
ABBM081318	0.5977423791131697
ABBM067419	0.2353149201455113
ABBM013736	-0.1214771541576665
ABBM079137	0.8566325370785514
ABBM019797	0.4466630599142618
ABBM005232	0.3488676840050023
ABBM077523	0.4822484798792184
ABBM012296	0.5414761824115942
ABBM051342	0.3575910816076723
ABBM070603	0.5199526356671784
ABBM013039	0.8443285745118198
ABBM071144	0.0278236167111798
ABBM012745	0.1812206191775117
